Name,Municipality,County,Address,Student body count,Latitude,Longitude
Utskarpen barne- og ungdomsskole,Rana,Nordland,"Glansberget 10, 8725 UTSKARPEN",60,66.2926229,13.5699641
Alteren skole,Rana,Nordland,"Korsnesveien 1, 8616 MO I RANA",7,66.3083969,14.0228304
Mo ungdomsskole,Rana,Nordland,"Johan Nygaardsvoldsg 27, 8622 MO I RANA",120,66.3147056,14.1442974
Gruben barneskole,Rana,Nordland,"Skolealleen 2, 8610 MO I RANA",106,66.318921,14.1943219
Lyngheim skole,Rana,Nordland,"Lyngheim 22, 8626 MO I RANA",46,66.3191341,14.1574595
Gruben ungdomsskole,Rana,Nordland,"Skolealleen 10, 8610 MO I RANA",120,66.3204764,14.1977899
Selfors barneskole,Rana,Nordland,"Sportsalleen 3, 8613 MO I RANA",108,66.3256767,14.1809086
Selfors ungdomsskole,Rana,Nordland,"Sjøforsgata 28, 8613 MO I RANA",73,66.3271278,14.18063
Båsmo barneskole,Rana,Nordland,"Brakkebakken 22, 8616 MO I RANA",220,66.3349238,14.1059648
Båsmo ungdomsskole,Rana,Nordland,"Brakkebakken 24, 8616 MO I RANA",54,66.3350065,14.1059002
Ytteren skole,Rana,Nordland,"Per Persaveien 20, 8614 MO I RANA",260,66.3426735,14.1350124
Skonseng skole,Rana,Nordland,"Langfjellveien 100, 8615 SKONSENG",92,66.3582343,14.3450161
Moflag skole,Lurøy,Nordland,"8762, SLENESET  ",46,66.3635011,12.6085501
Lovund skole,Lurøy,Nordland,"8764, LOVUND  ",,66.3649861,12.3605855
Onøy/lurøy skole,Lurøy,Nordland,"Onøy 35, 8766 LURØY",4,66.3671574,12.893089
Storforshei barne- og ungdomsskole,Rana,Nordland,"Malmgata 28, 8630 STORFORSHEI",225,66.4038208,14.5300013
Aldersund skole,Lurøy,Nordland,"8730, BRATLAND  ",3,66.4044568,13.1588614
Øresvik skole,Rødøy,Nordland,"8754, ØRESVIK  ",1,66.4427249,13.3304424
Husøy skole,Træna,Nordland,"8770, TRÆNA  ",10,66.4885476,12.0390217
Konsvik skole,Lurøy,Nordland,"Skolhåjen, 8752 KONSVIKOSEN",28,66.4993223,13.1031598
Selsøyvik skole,Rødøy,Nordland,"8196, SELSØYVIK  ",7,66.5807886,12.991875
Jektvik skole,Rødøy,Nordland,"8187, JEKTVIK  ",4,66.6262758,13.2930886
Gjerøy skole,Rødøy,Nordland,"Gjerøy, 8195 GJERØY",3,66.6378295,13.0426012
Nesøy skole,Rødøy,Nordland,"8198, NORDNESØY  ",3,66.6666667,12.5333333
Tjongsfjord skole,Rødøy,Nordland,"8186, TJONGSFJORDEN  ",1,66.683495,13.475565
Rødøy skole,Rødøy,Nordland,"8193, RØDØY  ",2,66.6850377,12.9070012
Halsa skole,Meløy,Nordland,"8157, MELØY  ",91,66.7109741,13.7349973
Enga skole,Meløy,Nordland,"8157, MELØY  ",23,66.7813457,13.5434565
Bolga skole,Meløy,Nordland,"8157, MELØY  ",23,66.8016647,13.2157308
Glomfjord skole,Meløy,Nordland,"Glomveien 8, 8160 GLOMFJORD",23,66.8180573,13.9451434
Meløy skole,Meløy,Nordland,"8157, MELØY  ",23,66.8366104,13.4105422
Spildra skole,Meløy,Nordland,"Spilderdalsveien 9 B, 8150 ØRNES",23,66.8366104,13.4105422
Neverdal skole,Meløy,Nordland,"Fjellmyra 8, 8149 NEVERDAL",23,66.8367989,13.7714436
Ørnes ungdomsskole,Meløy,Nordland,"Spildervika 10, 8150 ØRNES",48,66.8644798,13.7216687
Reipå skole,Meløy,Nordland,"Hans Bruns Vei 9, 8146 REIPÅ",23,66.9119637,13.6425517
Trones skole,Beiarn,Nordland,"Tollånes, 8114 TOLLÅ",35,66.916565,14.772417
Storvik Oppvekstsenter - Avd skole,Gildeskål,Nordland,"Storvik, 8145 STORVIK",59,66.9656771,13.8051062
Røkland skole,Saltdal,Nordland,"Røkland, 8255 RØKLAND",12,66.9872472,15.3184633
Inndyr skole,Gildeskål,Nordland,"Breihaugen, 8140 INNDYR",17,67.033801,14.0275475
Rognan barneskole,Saltdal,Nordland,"Skolevegen 26, 8250 ROGNAN",57,67.0965988,15.3914533
Rognan ungdomsskole,Saltdal,Nordland,"Høgbakkvegen 11, 8250 ROGNAN",57,67.0980236,15.3885747
Nygårdsjøen Oppvekstsenter - Avdeling skole,Gildeskål,Nordland,"Saura, 8120 NYGÅRDSJØEN",7,67.110934,14.300323
Misvær skole,Bodø,Nordland,"Misvær, 8100 MISVÆR",5,67.1204856,14.9952402
Sandhornøy skole,Gildeskål,Nordland,"Våg, 8130 SANDHORNØY",3,67.1281406,14.0647771
Sulitjelma Oppvekstsenter - Avdeling skole,Fauske,Nordland,"Sandnes, 8230 SULITJELMA",9,67.1326897,16.0806479
Sørarnøy skole og Barnehage - Avd skole,Gildeskål,Nordland,"Sørarnøy, 8135 SØRARNØY",29,67.137187,13.9786837
Fleinvær skole,Gildeskål,Nordland,"Mevær, 8094 FLEINVÆR",1,67.1666667,13.7666667
Saltstraumen skole,Bodø,Nordland,"Knaplund, 8056 SALTSTRAUMEN",6,67.232517,14.633317
Skjerstad Oppvekstsenter Avdeling skole,Bodø,Nordland,"8102, SKJERSTAD  ",1,67.2329554,15.0286443
Finneid Nærmiljøsenter - Avdeling skole,Fauske,Nordland,"Tinkeliheia 3, 8210 FAUSKE",73,67.2486206,15.6668356
Erikstad Oppvekstsenter - Avdeling skole,Fauske,Nordland,"Tareveien 5, 8200 FAUSKE",24,67.2551064,15.3556656
Vestmyra Skolesenter,Fauske,Nordland,"Gymnasveien 12, 8200 FAUSKE",85,67.2620937,15.3774915
Tverlandet skole,Bodø,Nordland,"Sørgjerdet 3, 8050 TVERLANDET",36,67.2666667,14.7666667
Bodøsjøen skole,Bodø,Nordland,"Bodøsjøveien, 8070 BODØ",425,67.2710583,14.437438
Alstad barneskole,Bodø,Nordland,"Alstadveien 15, 8079 BODØ",34,67.2742979,14.4845076
Alstad ungdomsskole,Bodø,Nordland,"Alstadveien 19, 8079 BODØ",123,67.2748221,14.4871286
St Eysteins skole,Bodø,Nordland,"Hernesveien 22 B, 8003 BODØ",8,67.2753678,14.3684432
Aspåsen skole,Bodø,Nordland,"Hålogalandsgata 25, 8003 BODØ",56,67.278489,14.3787057
Grønnåsen skole,Bodø,Nordland,"Prestmarkveien 163, 8074 BODØ",27,67.2802778,14.4667696
Bankgata ungdomsskole,Bodø,Nordland,"Bankgata 26, 8005 BODØ",412,67.2803605,14.3908882
Østbyen skole,Bodø,Nordland,"Ole Reistads Vei 20, 8008 BODØ",20,67.280583,14.4084565
Hunstad ungdomsskole,Bodø,Nordland,"Hunstadringen 2, 8022 BODØ",412,67.2816468,14.5422467
