Østfold;Skiptvet;Kirkelund skole;Sundåsveien 11;1816;SKIPTVET;300
Østfold;Skiptvet;Vestgård skole;VESTGÅRDVEIEN 16;1816;SKIPTVET;191
Østfold;Spydeberg;Rådmannens lederteam;Stasjonsgt. 35;1820;SPYDEBERG;0
Østfold;Spydeberg;Hovin skole;Lyserenveien 4;1820;SPYDEBERG;282
Østfold;Spydeberg;Spydeberg skole;Heliveien 241;1820;SPYDEBERG;179
Østfold;Spydeberg;Spydeberg ungdomsskole;Griniveien 16;1820;SPYDEBERG;194
Østfold;Trøgstad;Trøgstad skolestyre;Kirkeveien 17;1860;TRØGSTAD;0
Østfold;Trøgstad;Båstad skole;Båstadveien 500;1866;BÅSTAD;141
Østfold;Trøgstad;Havnås Oppvekstsenter;Kroksundveien 64;1860;TRØGSTAD;76
Østfold;Trøgstad;Skjønhaug skole;SKOLEVEIEN 7;1860;TRØGSTAD;219
Østfold;Trøgstad;Trøgstad ungdomsskole;Idrettsveien 10;1860;TRØGSTAD;192
Østfold;Våler i Østfold;Våler Skolestyre;Herredshuset; 1592;;0
Østfold;Våler i Østfold;Kirkebygden barne- og ungdomsskole;Skoleveien 1;1592;VÅLER I ØSTFOLD;341
Østfold;Våler i Østfold;Svinndal skole;Svinndalveien 28;1593;SVINNDAL;78
Østfold;Våler i Østfold;Våk skole;Sperrebotn;1591;SPERREBOTN;183
Østfold;Rygge;Buen Kristne skole;Buen 7;1528;MOSS;90
Østfold;Halden;Halden Friskole;Høstbakken 11;1793;TISTEDAL;36
Østfold;Fredrikstad;Steinerskolen i Fredrikstad;Gunbjørgs vei 1;1664;ROLVSØY;162
Østfold;Moss;Steinerskolen i Moss;VEVERBAKKEN 40;1536;MOSS;130
Østfold;Askim;Stiftelsen Steinerskolen i Indre Østfold;Romsveien 10;1815;ASKIM;98
Østfold;Moss;Torderød skole Adventistkirkens grunnskole;Folke Bernadottes gate 8;1511;MOSS;68
Østfold;Fredrikstad;Østfold Fylkeskommunale grunnskole;Nabbetorpveien 99;1636;GAMLE FREDRIKSTAD;85
Akershus;Asker;Forvaltningsavdeling skole; ; ;;0
Akershus;Asker;Arnestad skole;Håkavikveien 49;1390;VOLLEN;467
Akershus;Asker;Billingstad skole;Billingstadveien 58;1396;BILLINGSTAD;246
Akershus;Asker;Blakstad skole;Gudolf Blakstads vei 67;1386;ASKER;347
Akershus;Asker;Bondi skole;Johan Drengsruds vei 52;1383;ASKER;374
Akershus;Asker;Borgen skole;Vardefaret 4;1388;BORGEN;354
Akershus;Asker;Drengsrud skole;Gamle Drammensvei 318;1383;ASKER;320
Akershus;Asker;Hagaløkka skole;Gamle Borgenvei 26;1383;ASKER;279
Akershus;Asker;Heggedal skole;Skoleveien 10;1389;HEGGEDAL;352
Akershus;Asker;Hofstad skole;Hofstadgata 14;1384;ASKER;402
Akershus;Asker;Hovedgården ungdomsskole;Heggedalsbakken 11;1389;HEGGEDAL;190
Akershus;Asker;Hvalstad skole;HVALSTADVEIEN 25;1395;HVALSTAD;352
Akershus;Asker;Jansløkka skole;Semsveien 205;1384;ASKER;442
Akershus;Asker;Landøya ungdomsskole;Landøyveien 16;1394;NESBRU;317
Akershus;Asker;Mellom-Nes skole;Breivikveien 25;1394;NESBRU;357
Akershus;Asker;Nesøya skole;Rosenkrantz vei 40;1397;NESØYA;400
Akershus;Asker;Ollestua skole;Fusdalenga 17;1386;ASKER;10
Akershus;Asker;Risenga ungdomsskole;Brages vei 9;1387;ASKER;373
Akershus;Asker;Rønningen skole;Trettestykket 6;1388;BORGEN;154
Akershus;Asker;Sjøskolen;Bruksveien 17 E;1390;VOLLEN;9
Akershus;Asker;Solberg skole;Heggedalsveien 99;1385;ASKER;106
Akershus;Asker;Solvang ungdomsskole;Solvangveien 32;1383;ASKER;351
Akershus;Asker;Stordammen skole;Arnestadveien 17;1390;VOLLEN;10
Akershus;Asker;Torstad ungdomsskole;Torstadbakken 49;1395;HVALSTAD;426
Akershus;Asker;Vardåsen skole;Slottsberget 1;1385;ASKER;427
Akershus;Asker;Vettre skole;Aspelundfaret 2;1392;VETTRE;269
Akershus;Asker;Vollen ungdomsskole;Håkavikveien 45;1390;VOLLEN;351
Akershus;Aurskog Høland;Aurskog-Høland, rådmannen;Rådhusveien 3;1940;BJØRKELANGEN;0
Akershus;Aurskog Høland;Aursmoen skole;;1930;AURSKOG;528
